COM,NAME,PTOT
010020000000,"Kiel, Landeshauptstadt",249132
010030000000,"Lübeck, Hansestadt",215958
010040000000,"Neumünster, Stadt",79625
010510011011,"Brunsbüttel, Stadt",12573
010510044044,"Heide, Stadt",21487
010515163003,Averlak,568
010515163010,Brickeln,191
010515163012,Buchholz (Kreis Dithmarschen),1001
010515163016,Burg (Dithmarschen),4150
010515163022,Dingen,648
010515163024,Eddelak,1330
010515163026,Eggstedt,761
010515163032,Frestedt,337
010515163037,Großenrade,482
010515163051,Hochdonn,1124
010515163064,Kuden,622
010515163089,Quickborn,188
010515163097,Sankt Michaelisdonn,3539
010515163110,Süderhastedt,771
010515166021,Diekhusen-Fahrstedt,675
010515166034,Friedrichskoog,2403
010515166046,Helse,800
010515166057,Kaiser-Wilhelm-Koog,356
010515166062,Kronprinzenkoog,833
010515166072,"Marne, Stadt",5766
010515166073,Marnerdeich,395
010515166076,Neufeld,613
010515166077,Neufelderkoog,116
010515166090,Ramhusen,160
010515166103,Schmedeswurth,174
010515166118,Trennewurth,229
010515166119,Volsemenhusen,328
010515169005,Barkenholm,177
010515169008,Bergewöhrden,35
010515169019,Dellstedt,718
010515169020,Delve,760
010515169023,Dörpling,637
010515169030,Fedderingen,265
010515169035,Gaushorn,175
010515169036,Glüsing,107
010515169038,Groven,90
010515169047,Hemme,499
010515169049,Hennstedt (Kreis Dithmarschen),2071
010515169052,Hövede,64
010515169053,Hollingstedt (Kreis Dithmarschen),304
010515169058,Karolinenkoog,132
010515169060,Kleve (Kreis Dithmarschen),413
010515169061,Krempel,600
010515169065,Lehe (Kreis Dithmarschen),1092
010515169068,Linden (Kreis Dithmarschen),874
010515169071,Lunden,1727
010515169080,Norderheistedt,131
010515169088,Pahlen,1171
010515169092,Rehm-Flehde-Bargen,539
010515169096,Sankt Annen,311
010515169100,Schalkholz,578
010515169102,Schlichting,243
010515169114,Tellingstedt,2673
010515169117,Tielenhemme,156
010515169120,Wallen,33
010515169125,Welmbüttel,406
010515169131,Westerborstel,117
010515169133,Wiemerstedt,152
010515169136,Wrohm,741
010515169139,Süderdorf,362
010515169141,Süderheistedt,548
010515172048,Hemmingstedt,2860
010515172067,Lieth,381
010515172069,Lohe-Rickelshof,2040
010515172075,Neuenkirchen (Kreis Dithmarschen),934
010515172081,Norderwöhrden,262
010515172082,Nordhastedt,2803
010515172087,Ostrohe,867
010515172107,Stelle-Wittenwurth,460
010515172113,Wöhrden,1165
010515172122,Weddingstedt,2371
010515172130,Wesseln,1368
010515175001,Albersdorf (Kreis Dithmarschen),3717
010515175002,Arkebek,227
010515175004,Bargenstedt,920
010515175006,Barlt,763
010515175015,Bunsoh,771
010515175017,Busenwurth,308
010515175027,Elpersbüttel,851
010515175028,Epenwöhrden,766
010515175039,Gudendorf,428
010515175054,Immenstedt (Kreis Dithmarschen),106
010515175063,Krumstedt,496
010515175074,"Meldorf, Stadt",7180
010515175078,Nindorf (Kreis Dithmarschen),1095
010515175083,Odderade,325
010515175085,Offenbüttel,263
010515175086,Osterrade,412
010515175098,Sarzbüttel,707
010515175099,Schafstedt,1280
010515175104,Schrum,74
010515175126,Wennbüttel,103
010515175134,Windbergen,773
010515175135,Wolmersdorf,318
010515175137,Nordermeldorf,589
010515175138,Tensbüttel-Röst,647
010515178013,Büsum,4911
010515178014,Büsumer Deichhausen,343
010515178033,Friedrichsgabekoog,52
010515178043,Hedwigenkoog,218
010515178045,Hellschen-Heringsand-Unterschaar,164
010515178050,Hillgroven,57
010515178079,Norddeich,434
010515178084,Oesterdeichstrich,310
010515178093,Reinsbüttel,389
010515178105,Schülp,369
010515178108,Strübbel,95
010515178109,Süderdeich,435
010515178121,Warwerort,226
010515178127,"Wesselburen, Stadt",3346
010515178128,Wesselburener Deichhausen,107
010515178129,Wesselburenerkoog,165
010515178132,Westerdeichstrich,797
010515178140,Oesterwurth,241
010530032032,"Geesthacht, Stadt",32343
010530083083,"Lauenburg/ Elbe, Stadt",11395
010530090090,"Mölln, Stadt",19392
010530100100,"Ratzeburg, Stadt",14873
010530116116,"Schwarzenbek, Stadt",16889
010530129129,Wentorf bei Hamburg,13524
010535308008,Behlendorf,405
010535308009,Berkenthin,2171
010535308011,Bliestorf,631
010535308024,Düchelsdorf,154
010535308034,Göldenitz,231
010535308061,Kastorf,1165
010535308067,Klempau,597
010535308075,Krummesse,1629
010535308094,Niendorf bei Berkenthin,193
010535308103,Rondeshagen,794
010535308120,Sierksrade,441
010535313002,Alt-Mölln,851
010535313005,Bälau,225
010535313013,Borstorf,315
010535313014,Breitenfelde,2099
010535313037,Grambek,534
010535313056,Hornbek,226
010535313084,Lehmrade,591
010535313095,Niendorf/ Stecknitz,697
010535313113,Schretstaken,512
010535313125,Talkau,543
010535313134,Woltersdorf (Kreis Herzogtum Lauenburg),350
010535318010,Besenthal,92
010535318015,Bröthen,330
010535318020,Büchen,6366
010535318029,Fitzen,386
010535318035,Göttin,61
010535318046,Gudow,1745
010535318048,Güster,1296
010535318064,Klein Pampau,679
010535318080,Langenlehsten,173
010535318092,Müssen,1233
010535318104,Roseburg,544
010535318115,Schulendorf,452
010535318119,Siebeneichen,269
010535318126,Tramm (Kreis Herzogtum Lauenburg),323
010535318132,Witzeeze,917
010535323003,Aumühle,3200
010535323012,Börnsen,4773
010535323023,Dassendorf,3465
010535323028,Escheburg,3496
010535323050,Hamwarde,883
010535323053,Hohenhorn,537
010535323072,Kröppelshagen-Fahrendorf,1423
010535323131,Wiershop,212
010535323133,Wohltorf,2579
010535323135,Worth,170
010535343006,Basedow (Kreis Herzogtum Lauenburg),633
010535343019,Buchhorst,147
010535343022,Dalldorf,354
010535343058,Juliusburg,183
010535343073,Krüzen,358
010535343074,Krukow (Kreis Herzogtum Lauenburg),162
010535343082,Lanze,268
010535343087,Lütau,696
010535343111,Schnakenbek,912
010535343128,Wangelau,210
010535358001,Albsfelde,74
010535358004,Bäk,919
010535358016,Brunsmark,156
010535358018,Buchholz (Kreis Herzogtum Lauenburg),252
010535358026,Einhaus,447
010535358030,Fredeburg,47
010535358033,Giesensdorf,175
010535358040,Groß Disnack,84
010535358041,Groß Grönau,3764
010535358043,Groß Sarau,1052
010535358051,Harmsdorf (Kreis Herzogtum Lauenburg),314
010535358054,Hollenbek,472
010535358057,Horst,277
010535358062,Kittlitz,299
010535358066,Klein Zecher,247
010535358078,Kulpin,210
010535358088,Mechow,141
010535358093,Mustin (Kreis Herzogtum Lauenburg),732
010535358098,Pogeez,510
010535358102,Römnitz,49
010535358107,Salem (Kreis Herzogtum Lauenburg),693
010535358110,Schmilau,572
