idENT_MEN;IDENT_IND;RG;DEP;DATENQ;POIDS_VOY13;poids_annuel;IDENT_VOY;V2_OLDVMH;V2_OLDDEBJ;V2_OLDFINJ;V2_OLDDEST;V2_OLDVORG;V2_OLDVDEP;V2_OLDVPAYS;V2_PAYS;V2_Continent;V2_Dom_Tom;V2_NAVETTE;V2_OLDMOTPR;V2_OLDACCOMPP;V2_OLDTALP;V2_OLDHEBERP;V2_OLDMTPP;V2_DVO_DSV;Nbdep;V2_OLDKMV;V2_DUREEV;V2_OLDNBEXC;V2_OLDNBLDMJ;V2_OLVCHXI;V2_OLVCHXIB_A;V2_OLVCHXIB_B;V2_OLVCHXIB_C;V2_OLVCHXIB_D;numcom_AUCat;numcom_zhu;numcom_UUCat;numcom_ZE;numcom_BV;numcom_Pays;numcom_Canton;numcom_EPCI;numcom_SCOT;numcom_PTU;numcom_montagne;numcom_littoral;V2_OLDVCOM_AUCat;V2_OLDVCOM_zhu;V2_OLDVCOM_UUCat;V2_OLDVCOM_ZE;V2_OLDVCOM_BV;V2_OLDVCOM_Pays;V2_OLDVCOM_Canton;V2_OLDVCOM_EPCI;V2_OLDVCOM_SCOT;V2_OLDVCOM_PTU;V2_OLDVCOM_montagne;V2_OLDVCOM_littoral;numcom_AU2010;numcom_UU2010;v2_oldvcom_AU2010;v2_oldvcom_UU2010
11000302000;1100030200002;11;78;19/09/2007;1291.0348214;5164.1392857;11000302000D01;1;15/09/2007;16/09/2007;1;2;18;001;France;0;0;0;5.51;1;2;6;3.32;157;2;366;255;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1145;91200;;78219;;2260;;non montagne;non littoral;Pôle urbain;06;ville centre;2411;18033;18BOUR;18198;241800507;238;24;non montagne;non littoral;114;R;111;C
11001105000;1100110500001;11;78;08/10/2007;2799.3488466;11197.395386;11001105000D01;1;15/09/2007;16/09/2007;1;2;28;001;France;0;0;0;5.52;3;2;;3.33;61;2;130;180;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;91200;;78219;;2260;;non montagne;non littoral;Espace à dominante rurale;00;ville centre;2423;28061;28PERC;28206;242852564;;;non montagne;non littoral;114;R;221;C
11001605000;1100160500001;11;78;06/10/2007;4587.3497097;18349.398839;11001605000D01;1;03/10/2007;04/10/2007;1;2;33;001;France;0;0;0;9.92;4;2;2;7.70;494;2;1200;375;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78537;;78219;;317;;non montagne;non littoral;Commune monopolarisée;04;ville isolée;7272;33498;33BAVE;33605;243301405;196;;non montagne;non littoral;114;R;112;I
11001605000;1100160500001;11;78;06/10/2007;4588.3864523;18353.545809;11001605000D02;1;26/09/2007;27/09/2007;1;2;33;001;France;0;0;0;9.92;4;2;2;7.70;494;2;1200;375;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78537;;78219;;317;;non montagne;non littoral;Commune monopolarisée;04;ville isolée;7272;33498;33BAVE;33605;243301405;196;;non montagne;non littoral;114;R;112;I
11001605000;1100160500001;11;78;06/10/2007;4588.3864523;18353.545809;11001605000D03;1;18/09/2007;19/09/2007;1;2;33;001;France;0;0;0;9.92;4;2;2;7.70;494;2;1200;375;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78537;;78219;;317;;non montagne;non littoral;Commune monopolarisée;04;ville isolée;7272;33498;33BAVE;33605;243301405;196;;non montagne;non littoral;114;R;112;I
11001605000;1100160500001;11;78;06/10/2007;4578.1996535;18312.798614;11001605000D04;3;11/09/2007;14/09/2007;1;2;38;001;France;0;0;0;9.94;4;2;2;6.60;475;2;1200;435;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78537;;78219;;317;;non montagne;non littoral;Pôle urbain;06;ville centre;8223;38185;;38198;243800901;249;49;non montagne;non littoral;114;R;111;C
11003202000;1100320200001;11;78;13/11/2007;1152.3749988;4609.4999952;11003202000D01;8;28/10/2007;05/11/2007;1;2;50;001;France;0;0;0;8.80;2;2;;3.32;285;2;800;480;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78517;;78219;;317;;non montagne;non littoral;Espace à dominante rurale;00;commune rurale;2504;50031;50COTE;50203;245000807;4259;;non montagne;communes bord de mer;114;R;400;R
11003802000;1100380200001;11;78;15/12/2007;1978.6344951;7914.5379805;11003802000D01;0;27/11/2007;27/11/2007;1;2;__;006;Royaume Uni;0;0;0;9.92;4;2;0;6.60;352;2;952;510;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78517;;78219;;317;;non montagne;non littoral;;;;;;;;;;;;;114;R;;
11003802000;1100380200001;11;78;15/12/2007;2095.7405122;8382.9620487;11003802000D02;1;20/11/2007;21/11/2007;1;2;__;006;Royaume Uni;0;0;0;9.92;4;2;2;6.60;352;2;952;720;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78517;;78219;;317;;non montagne;non littoral;;;;;;;;;;;;;114;R;;
11005402000;1100540200001;11;78;18/02/2008;811.97469511;3247.8987804;11005402000D01;4;13/02/2008;17/02/2008;2;2;74;001;France;0;0;0;5.51;3;2;6;3.32;447;3;1210;750;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;28015;;78219;;2260;;non montagne;non littoral;Espace à dominante rurale;00;banlieue;8208;74280;;74126;247400617;135;;montagne;non littoral;114;R;221;B
11006202000;1100620200001;11;78;13/02/2008;518.04286464;2072.1714586;11006202000D01;8;01/02/2008;09/02/2008;1;2;14;001;France;0;0;0;8.81;1;2;3;3.31;220;2;550;690;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1145;91200;;78219;;2260;;non montagne;non littoral;Commune multipolarisée;03;commune rurale;2501;14370;;14133;241400613;21;;non montagne;non littoral;114;R;120;B
11007102000;1100710200001;11;78;27/03/2008;894.11411408;3576.4564563;11007102000D01;7;08/03/2008;15/03/2008;1;2;73;001;France;0;0;0;8.80;3;2;;3.31;502;2;1300;1290;2;;1;1;0;0;0;Commune monopolarisée;07;commune rurale;1145;91200;;78219;;2260;;non montagne;non littoral;Espace à dominante rurale;00;commune rurale;8217;73257;;73120;;;;montagne;non littoral;114;R;400;R
11007502000;1100750200001;11;78;18/03/2008;734.97748174;2939.9099269;11007502000D01;2;03/03/2008;05/03/2008;1;2;31;001;France;0;0;0;5.51;1;2;;3.31;550;2;1200;840;2;;1;0;1;0;0;Commune monopolarisée;07;commune rurale;1145;91200;;78219;;2260;;non montagne;non littoral;Pôle urbain;06;ville centre;7301;31555;;31399;243100518;195;95;non montagne;non littoral;114;R;111;C
11007702000;1100770200001;11;78;21/03/2008;923.55348875;3694.213955;11007702000D01;2;29/02/2008;02/03/2008;1;2;14;001;France;0;0;0;5.51;1;2;;3.31;233;2;600;420;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78537;;78219;;2260;;non montagne;non littoral;Espace à dominante rurale;00;ville isolée;2501;14342;14BEBO;14120;241400720;21;;non montagne;non littoral;114;R;400;I
11008402000;1100840200001;11;78;24/04/2008;3599.013858;14396.055432;11008402000D01;0;08/04/2008;08/04/2008;1;2;33;001;France;0;0;0;9.92;2;2;0;7.70;455;2;1200;310;2;;2;0;0;0;0;Commune monopolarisée;07;commune rurale;1142;78537;;78219;;2260;;non montagne;non littoral;Pôle urbain;06;ville centre;7275;33063;;33299;243300316;246;21;non montagne;non littoral;114;R;111;C
11009401000;1100940100001;11;78;09/06/2007;6386.5894799;25546.35792;11009401000D01;5;17/05/2007;22/05/2007;1;2;56;001;France;0;0;0;5.51;1;2;6;6.61;389;2;980;;2;;2;0;0;0;0;Commune monopolarisée;07;ville centre;1142;78265;;78215;;314;;non montagne;non littoral;Commune monopolarisée;04;ville centre;5353;56083;56LORI;56114;245600341;206;56;non montagne;non littoral;114;C;112;I
