,NOM_COM,INSEE_COM,x,y
0,Saint-Privat,34286,734854.568334198,6294763.91660314
1,Saint-Gilles,30258,813555.212278358,6285314.2920764
2,Arboras,34011,738285.770012005,6291400.88239141
3,Montpeyroux,34173,740518.485091327,6290390.26853118
4,Saint-Saturnin-de-Lucian,34287,737585.614804815,6289386.21664719
5,Albi,81004,631532.976210924,6314463.18351762
6,Le Sequestre,81284,628271.643227628,6312799.96666794
7,Carlus,81059,628072.51534471,6310313.60779897
8,Laudun-l'Ardoise,30141,833184.347954088,6335164.28457142
9,Chusclan,30081,835011.025475993,6340907.328138
10,Orsan,30191,833169.736806645,6338720.79038285
11,Saint-Étienne-des-Sorts,30251,835952.521286172,6343687.91797937
12,Fozières,34106,728713.30791999,6294739.78037011
13,Soumont,34306,728211.737934977,6291945.7124107
14,Bréau-Mars,30052,744512.086212164,6325426.93062037
15,Val-d'Aigoual,30339,750945.598574509,6331734.88052801
16,Entre-Vignes,34246,786981.029467366,6291669.80275991
17,Campagnan,34047,739871.445522805,6271386.02333096
18,Saint-Salvi-de-Carcavès,81268,667391.265592725,6299910.23901259
19,Puilacher,34222,740838.808855659,6274320.17336294
20,Castillon-du-Gard,30073,824831.922145052,6321150.36474782
21,Saint-Hilaire-d'Ozilhan,30260,828368.832642639,6320592.75603785
22,Saint-Pargoire,34281,743954.92079138,6270420.38916288
23,Plaissan,34204,742825.448316857,6273453.99693992
24,Lieuran-Cabrières,34138,733041.856326443,6277083.07513007
25,Cabrières,34045,728143.876817174,6275548.48105577
26,Fontès,34103,731540.095637125,6271528.74918372
27,Bel-Air-Val-d'Ance,48038,749742.756741907,6416194.65258676
28,Lachamp-Ribennes,48126,729993.652093778,6392254.62206418
29,Monts-de-Randon,48127,738763.970079411,6394459.20249761
30,Castries,34058,779007.67515552,6288230.52125373
31,Prades-d'Aubrac,12187,697582.791902928,6382463.8043122
32,Saint-Chély-d'Aubrac,12214,695734.569972857,6388088.38479638
33,Beaucaire,30032,828320.242572659,6299151.55146829
34,Beauvoisin,30033,806631.544302711,6289442.10466336
35,Cabrières,30057,817825.864057164,6313208.25596133
36,Sainte-Anastasie,30228,807775.011499628,6315619.7778631
37,Aigaliers,30001,805028.192851078,6330908.68749275
38,Aubais,30019,792309.550036449,6295170.79002072
39,Saint-Brès,30237,795649.8650441,6354467.80868518
40,Aubord,30020,806115.910239175,6295610.74856479
41,Bellegarde,30034,820492.482969832,6295876.39244252
42,La Bruguière,30056,812201.676337773,6334840.60961947
43,Sainte-Cécile-d'Andorge,30239,778569.313006693,6351805.89440578
44,Campestre-et-Luc,30064,732111.568849763,6315547.10193881
45,Fontarèches,30115,814546.723093186,6336303.43752222
46,Poulx,30206,814310.112712416,6313879.46320313
47,Saint-Laurent-la-Vernède,30279,816979.786304005,6335788.27729767
48,Vissec,30353,736382.828575096,6310949.23223943
49,Saint-Victor-de-Malcap,30303,798244.265264513,6351282.45982832
50,Sanilhac-Sagriès,30308,813951.272970724,6318355.20157513
51,Serviers-et-Labaume,30319,807746.995454596,6327496.2284642
52,Magalas,34147,717581.930445526,6264699.07533473
53,Montagnac,34162,741287.395488442,6264083.64512863
54,Cazouls-d'Hérault,34068,736939.480026888,6267092.25289736
55,Fabrègues,34095,762435.221696583,6270867.20266132
56,Autignac,34018,713545.312223115,6266786.35378342
57,Jonquières,34122,738614.292162908,6286223.57076402
58,Pézènes-les-Mines,34200,719790.564118446,6277795.97695289
59,Lagamas,34125,742972.564991834,6286326.44982757
60,Mourèze,34175,728279.630371929,6279698.14830524
61,Nizas,34184,733858.996378599,6268380.94668629
62,Thézan-lès-Béziers,34310,712756.021444963,6257151.76221506
63,Pailhès,34191,714989.208521704,6259799.98261689
64,Usclas-d'Hérault,34315,737852.597298085,6269307.74074586
65,Puimisson,34223,716861.386293248,6259882.88592888
66,Roujan,34237,725037.629692958,6267981.99130158
67,Saint-André-de-Sangonis,34239,740632.809618449,6283614.37858169
68,Saint-Guiraud,34262,736363.001002823,6286735.05488986
69,Saint-Jean-de-Védas,34270,767260.213267947,6275127.79886307
70,Saint-Pons-de-Mauchiens,34285,741541.450287744,6267932.99437246
71,Vailhan,34319,724230.477106679,6272891.82755539
72,Valmascle,34323,724247.211377322,6277938.66235136
73,Vendargues,34327,777667.341991908,6285101.4065663
74,Saint-Julien-des-Points,48163,776725.789967661,6351655.40103548
75,Aniane,34010,747763.947735377,6287327.63131175
76,Saint-Gervais-sur-Mare,34260,703994.97451537,6285309.56689468
77,Saint-Jean-de-Fos,34267,744062.048850993,6288491.3472392
78,Graissessac,34117,706886.906970157,6287457.24756026
79,Le Pouget,34210,741755.740814063,6277228.16134317
80,Vendémian,34328,745487.336872051,6275699.8177128
81,Le Cros,34091,729181.088329043,6309140.50060818
82,Saint-Maurice-Navacelles,34277,740691.278441534,6305211.65272881
83,Saint-Michel,34278,732689.358469129,6304722.62309493
84,La Vacquerie-et-Saint-Martin-de-Castries,34317,738709.903375937,6299550.65502798
85,Pourcharesses,48117,771487.657846733,6370944.15403466
86,Salasc,34292,725234.875385347,6280387.51700133
87,Mérifons,34156,722618.341696313,6281857.20018096
88,Dio-et-Valquières,34093,717870.083560981,6285559.01802339
89,Octon,34186,723862.292667026,6284313.15525275
90,Brenas,34040,720473.545770495,6282440.56336645
91,Terre-de-Bancalié,81233,641771.356339911,6300599.6675566
92,Bélarga,34029,740364.705370262,6272891.14082331
