PERIOD_REF;PERIOD_COMP;CODE_REGION;REGION;INDICATORS;UNIT_MES;VALUE;STATUS;SURFACE;DIST;distance_interne
2016;;CH;Schweiz;Ind_04_01;UM_11;41290.76;A;41290,76;58,56311227;58.5631122743798
2016;;1;Aeugst am Albis;Ind_04_01;UM_11;7.91;A;7,91;0,810561463;0.810561463474781
2016;;2;Affoltern am Albis;Ind_04_01;UM_11;10.59;A;10,59;0,937876579;0.937876578795155
2016;;4;Hausen am Albis;Ind_04_01;UM_11;13.6;A;13,6;1,062838223;1.06283822313935
2016;;5;Hedingen;Ind_04_01;UM_11;6.53;A;6,53;0,736468712;0.736468712063343
2016;;6;Kappel am Albis;Ind_04_01;UM_11;7.92;A;7,92;0,811073667;0.811073666662374
2016;;7;Knonau;Ind_04_01;UM_11;6.47;A;6,47;0,733077434;0.733077433666884
2016;;8;Maschwanden;Ind_04_01;UM_11;4.69;A;4,69;0,62414304;0.624143039870445
2016;;9;Mettmenstetten;Ind_04_01;UM_11;13.03;A;13,03;1,040327116;1.04032711569399
2016;;10;Obfelden;Ind_04_01;UM_11;7.54;A;7,54;0,791376926;0.791376925875351
2016;;11;Ottenbach;Ind_04_01;UM_11;5.02;A;5,02;0,645727926;0.645727926258499
2016;;12;Rifferswil;Ind_04_01;UM_11;6.51;A;6,51;0,735340024;0.735340023718757
2016;;13;Stallikon;Ind_04_01;UM_11;12.02;A;12,02;0,999194292;0.999194291761362
2016;;14;Wettswil am Albis;Ind_04_01;UM_11;3.77;A;3,77;0,559587991;0.559587990761025
2016;;21;Adlikon;Ind_04_01;UM_11;6.58;A;6,58;0,739282894;0.739282893933091
2016;;22;Benken (ZH);Ind_04_01;UM_11;5.66;A;5,66;0,68565544;0.685655440033349
2016;;23;Berg am Irchel;Ind_04_01;UM_11;7.01;A;7,01;0,763056541;0.763056540907132
2016;;24;Buch am Irchel;Ind_04_01;UM_11;10.21;A;10,21;0,920895989;0.92089598929916
2016;;25;Dachsen;Ind_04_01;UM_11;2.7;A;2,7;0,473564995;0.473564994850405
2016;;26;Dorf;Ind_04_01;UM_11;5.56;A;5,56;0,679571421;0.679571420543591
2016;;27;Feuerthalen;Ind_04_01;UM_11;2.48;A;2,48;0,453861716;0.453861716084033
2016;;28;Flaach;Ind_04_01;UM_11;10.17;A;10,17;0,919090309;0.919090309151501
2016;;29;Flurlingen;Ind_04_01;UM_11;2.41;A;2,41;0,447410562;0.447410561506274
2016;;30;Andelfingen;Ind_04_01;UM_11;6.74;A;6,74;0,74821715;0.748217150422517
2016;;31;Henggart;Ind_04_01;UM_11;3.03;A;3,03;0,501671033;0.501671032529331
2016;;32;Humlikon;Ind_04_01;UM_11;3.68;A;3,68;0,552868211;0.552868211474524
2016;;33;Kleinandelfingen;Ind_04_01;UM_11;10.29;A;10,29;0,924496769;0.924496769366682
2016;;34;Laufen-Uhwiesen;Ind_04_01;UM_11;6.28;A;6,28;0,72223334;0.722233339564861
2016;;35;Marthalen;Ind_04_01;UM_11;14.13;A;14,13;1,083350009;1.08335000934729
2016;;37;Ossingen;Ind_04_01;UM_11;13.09;A;13,09;1,042719592;1.04271959209789
2016;;38;Rheinau;Ind_04_01;UM_11;8.93;A;8,93;0,861238508;0.861238508029472
2016;;39;Thalheim an der Thur;Ind_04_01;UM_11;6.44;A;6,44;0,731375898;0.731375897677328
2016;;40;Trüllikon;Ind_04_01;UM_11;9.56;A;9,56;0,891100437;0.891100436947085
2016;;41;Truttikon;Ind_04_01;UM_11;4.41;A;4,41;0,605225204;0.605225203623564
2016;;43;Volken;Ind_04_01;UM_11;3.2;A;3,2;0,515552266;0.515552265523216
2016;;51;Bachenbülach;Ind_04_01;UM_11;4.31;A;4,31;0,598323892;0.598323892447472
2016;;52;Bassersdorf;Ind_04_01;UM_11;9.03;A;9,03;0,866047247;0.866047247291117
2016;;53;Bülach;Ind_04_01;UM_11;16.09;A;16,09;1,156047643;1.15604764286578
2016;;54;Dietlikon;Ind_04_01;UM_11;4.25;A;4,25;0,594144629;0.59414462900617
2016;;55;Eglisau;Ind_04_01;UM_11;9.06;A;9,06;0,867484671;0.867484671097322
2016;;56;Embrach;Ind_04_01;UM_11;12.7;A;12,7;1,027068881;1.02706888138858
2016;;57;Freienstein-Teufen;Ind_04_01;UM_11;8.4;A;8,4;0,835290137;0.83529013733317
2016;;58;Glattfelden;Ind_04_01;UM_11;12.3;A;12,3;1,010765166;1.0107651655088
2016;;59;Hochfelden;Ind_04_01;UM_11;6.17;A;6,17;0,715880104;0.715880103975904
2016;;60;Höri;Ind_04_01;UM_11;4.79;A;4,79;0,630761921;0.630761921049782
2016;;61;Hüntwangen;Ind_04_01;UM_11;4.91;A;4,91;0,638614032;0.63861403150858
2016;;62;Kloten;Ind_04_01;UM_11;19.27;A;19,27;1,265139944;1.26513994391771
2016;;63;Lufingen;Ind_04_01;UM_11;5.18;A;5,18;0,655937696;0.655937696488323
2016;;64;Nürensdorf;Ind_04_01;UM_11;10.04;A;10,04;0,913197191;0.913197190917823
2016;;65;Oberembrach;Ind_04_01;UM_11;10.26;A;10,26;0,923148123;0.923148122741483
2016;;66;Opfikon;Ind_04_01;UM_11;5.59;A;5,59;0,68140233;0.681402330248394
2016;;67;Rafz;Ind_04_01;UM_11;10.68;A;10,68;0,941853458;0.9418534584517
2016;;68;Rorbas;Ind_04_01;UM_11;4.44;A;4,44;0,607280304;0.607280303607397
2016;;69;Wallisellen;Ind_04_01;UM_11;6.42;A;6,42;0,730239338;0.730239337709069
2016;;70;Wasterkingen;Ind_04_01;UM_11;3.96;A;3,96;0,57351569;0.573515689738802
2016;;71;Wil (ZH);Ind_04_01;UM_11;8.95;A;8,95;0,862202401;0.862202401457087
2016;;72;Winkel;Ind_04_01;UM_11;8.11;A;8,11;0,820744796;0.820744795734802
2016;;81;Bachs;Ind_04_01;UM_11;9.13;A;9,13;0,870829433;0.870829432993748
2016;;82;Boppelsen;Ind_04_01;UM_11;3.96;A;3,96;0,57351569;0.573515689738802
2016;;83;Buchs (ZH);Ind_04_01;UM_11;5.84;A;5,84;0,696472758;0.696472758072539
2016;;84;Dällikon;Ind_04_01;UM_11;4.51;A;4,51;0,612048702;0.612048702252424
2016;;85;Dänikon;Ind_04_01;UM_11;2.87;A;2,87;0,488245961;0.488245960510417
2016;;86;Dielsdorf;Ind_04_01;UM_11;5.87;A;5,87;0,698259352;0.698259352093101
2016;;87;Hüttikon;Ind_04_01;UM_11;1.59;A;1,59;0,363409497;0.363409497069478
2016;;88;Neerach;Ind_04_01;UM_11;6.04;A;6,04;0,708298268;0.708298267958176
2016;;89;Niederglatt;Ind_04_01;UM_11;3.6;A;3,6;0,546825755;0.54682575451133
2016;;90;Niederhasli;Ind_04_01;UM_11;11.3;A;11,3;0,968806251;0.968806250769014
2016;;91;Niederweningen;Ind_04_01;UM_11;6.85;A;6,85;0,75429807;0.754298069530111
2016;;92;Oberglatt;Ind_04_01;UM_11;8.25;A;8,25;0,827798595;0.827798594637929
2016;;93;Oberweningen;Ind_04_01;UM_11;4.94;A;4,94;0,64056202;0.640562019860645
2016;;94;Otelfingen;Ind_04_01;UM_11;7.15;A;7,15;0,770638552;0.770638552227908
2016;;95;Regensberg;Ind_04_01;UM_11;2.37;A;2,37;0,443682075;0.443682075157745
2016;;96;Regensdorf;Ind_04_01;UM_11;14.62;A;14,62;1,101974124;1.10197412411021
2016;;97;Rümlang;Ind_04_01;UM_11;12.41;A;12,41;1,015274787;1.0152747870978
2016;;98;Schleinikon;Ind_04_01;UM_11;5.68;A;5,68;0,686865777;0.686865777144897
2016;;99;Schöfflisdorf;Ind_04_01;UM_11;4.01;A;4,01;0,577125012;0.577125012272402
2016;;100;Stadel;Ind_04_01;UM_11;12.89;A;12,89;1,034723158;1.03472315818745
2016;;101;Steinmaur;Ind_04_01;UM_11;9.39;A;9,39;0,883141934;0.883141933734442
2016;;102;Weiach;Ind_04_01;UM_11;9.58;A;9,58;0,892032063;0.892032063377109
2016;;111;Bäretswil;Ind_04_01;UM_11;22.19;A;22,19;1,357614168;1.35761416796699
2016;;112;Bubikon;Ind_04_01;UM_11;11.61;A;11,61;0,982005274;0.982005274270437
2016;;113;Dürnten;Ind_04_01;UM_11;10.22;A;10,22;0,921346856;0.921346856395596
2016;;114;Fischenthal;Ind_04_01;UM_11;30.24;A;30,24;1,584851605;1.5848516046286
