"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""Suisse"",""Secteur économique - total"",703957,5417999,2481067,2936932,4201003,1651870,2549133"
"2021,""Suisse"",""Secteur primaire"",51666,160306,56414,103892,103443,28312,75132"
"2021,""Suisse"",""Secteur secondaire"",96543,1087112,255865,831247,991161,196764,794397"
"2021,""Suisse"",""Secteur tertiaire"",555748,4170581,2168788,2001793,3106399,1426795,1679604"
"2021,""1 Aeugst am Albis"",""Secteur économique - total"",143,470,262,208,297,141,156"
"2021,""1 Aeugst am Albis"",""Secteur primaire"",15,40,X,X,26,X,X"
"2021,""1 Aeugst am Albis"",""Secteur secondaire"",14,18,X,X,15,X,X"
"2021,""1 Aeugst am Albis"",""Secteur tertiaire"",114,412,246,166,256,133,123"
"2021,""2 Affoltern am Albis"",""Secteur économique - total"",982,6931,3773,3158,5172,2423,2748"
"2021,""2 Affoltern am Albis"",""Secteur primaire"",19,43,13,30,26,6,20"
"2021,""2 Affoltern am Albis"",""Secteur secondaire"",126,1243,261,982,1131,193,938"
"2021,""2 Affoltern am Albis"",""Secteur tertiaire"",837,5645,3499,2146,4015,2224,1791"
"2021,""3 Bonstetten"",""Secteur économique - total"",278,1047,637,410,725,382,343"
"2021,""3 Bonstetten"",""Secteur primaire"",17,43,18,25,23,7,15"
"2021,""3 Bonstetten"",""Secteur secondaire"",31,133,35,98,111,18,93"
"2021,""3 Bonstetten"",""Secteur tertiaire"",230,871,584,287,591,357,234"
"2021,""4 Hausen am Albis"",""Secteur économique - total"",275,1113,584,529,780,351,429"
"2021,""4 Hausen am Albis"",""Secteur primaire"",35,111,35,76,74,16,58"
"2021,""4 Hausen am Albis"",""Secteur secondaire"",41,133,22,111,117,13,104"
"2021,""4 Hausen am Albis"",""Secteur tertiaire"",199,869,527,342,588,321,267"
"2021,""5 Hedingen"",""Secteur économique - total"",196,1409,472,937,1146,292,854"
"2021,""5 Hedingen"",""Secteur primaire"",11,27,X,X,17,X,X"
"2021,""5 Hedingen"",""Secteur secondaire"",29,647,X,X,597,X,X"
"2021,""5 Hedingen"",""Secteur tertiaire"",156,735,335,400,533,191,342"
"2021,""6 Kappel am Albis"",""Secteur économique - total"",105,355,178,177,245,100,146"
"2021,""6 Kappel am Albis"",""Secteur primaire"",20,57,16,41,39,9,30"
"2021,""6 Kappel am Albis"",""Secteur secondaire"",23,88,18,70,70,9,62"
"2021,""6 Kappel am Albis"",""Secteur tertiaire"",62,210,144,66,136,82,54"
"2021,""7 Knonau"",""Secteur économique - total"",137,516,251,265,351,136,215"
"2021,""7 Knonau"",""Secteur primaire"",22,51,19,32,33,9,25"
"2021,""7 Knonau"",""Secteur secondaire"",16,87,31,56,67,17,50"
"2021,""7 Knonau"",""Secteur tertiaire"",99,378,201,177,251,111,140"
"2021,""8 Maschwanden"",""Secteur économique - total"",60,178,79,99,117,36,81"
"2021,""8 Maschwanden"",""Secteur primaire"",18,46,16,30,29,8,21"
"2021,""8 Maschwanden"",""Secteur secondaire"",6,55,10,45,49,6,43"
"2021,""8 Maschwanden"",""Secteur tertiaire"",36,77,53,24,40,22,18"
"2021,""9 Mettmenstetten"",""Secteur économique - total"",326,1769,791,978,1281,451,831"
"2021,""9 Mettmenstetten"",""Secteur primaire"",46,148,44,104,105,24,81"
"2021,""9 Mettmenstetten"",""Secteur secondaire"",58,588,121,467,526,84,442"
"2021,""9 Mettmenstetten"",""Secteur tertiaire"",222,1033,626,407,650,343,307"
"2021,""10 Obfelden"",""Secteur économique - total"",330,1464,768,696,1023,442,581"
"2021,""10 Obfelden"",""Secteur primaire"",17,52,19,33,33,10,23"
"2021,""10 Obfelden"",""Secteur secondaire"",59,283,90,193,235,53,182"
"2021,""10 Obfelden"",""Secteur tertiaire"",254,1129,659,470,755,379,376"
"2021,""11 Ottenbach"",""Secteur économique - total"",180,717,338,379,510,186,324"
"2021,""11 Ottenbach"",""Secteur primaire"",14,38,16,22,18,6,12"
"2021,""11 Ottenbach"",""Secteur secondaire"",37,279,67,212,245,43,202"
"2021,""11 Ottenbach"",""Secteur tertiaire"",129,400,255,145,247,137,111"
"2021,""12 Rifferswil"",""Secteur économique - total"",96,277,129,148,188,66,122"
"2021,""12 Rifferswil"",""Secteur primaire"",16,46,16,30,27,7,20"
"2021,""12 Rifferswil"",""Secteur secondaire"",14,78,14,64,68,8,61"
"2021,""12 Rifferswil"",""Secteur tertiaire"",66,153,99,54,93,51,42"
"2021,""13 Stallikon"",""Secteur économique - total"",193,777,380,397,545,225,320"
"2021,""13 Stallikon"",""Secteur primaire"",16,42,14,28,28,8,21"
"2021,""13 Stallikon"",""Secteur secondaire"",23,138,34,104,118,23,95"
"2021,""13 Stallikon"",""Secteur tertiaire"",154,597,332,265,399,194,204"
"2021,""14 Wettswil am Albis"",""Secteur économique - total"",274,1367,514,853,1050,302,749"
"2021,""14 Wettswil am Albis"",""Secteur primaire"",4,13,X,X,7,X,X"
"2021,""14 Wettswil am Albis"",""Secteur secondaire"",35,448,X,X,408,X,X"
"2021,""14 Wettswil am Albis"",""Secteur tertiaire"",235,906,438,468,636,254,382"
"2021,""21 Adlikon"",""Secteur économique - total"",58,138,53,85,97,27,71"
"2021,""21 Adlikon"",""Secteur primaire"",14,35,X,X,21,X,X"
"2021,""21 Adlikon"",""Secteur secondaire"",8,32,X,X,29,X,X"
"2021,""21 Adlikon"",""Secteur tertiaire"",36,71,38,33,48,21,27"
"2021,""22 Benken (ZH)"",""Secteur économique - total"",68,357,202,155,221,86,135"
"2021,""22 Benken (ZH)"",""Secteur primaire"",18,185,120,65,106,48,58"
"2021,""22 Benken (ZH)"",""Secteur secondaire"",8,41,X,X,37,X,X"
"2021,""22 Benken (ZH)"",""Secteur tertiaire"",42,131,X,X,78,X,X"
"2021,""23 Berg am Irchel"",""Secteur économique - total"",49,142,73,69,93,38,55"
"2021,""23 Berg am Irchel"",""Secteur primaire"",15,46,X,X,29,X,X"
"2021,""23 Berg am Irchel"",""Secteur secondaire"",11,28,X,X,23,X,X"
"2021,""23 Berg am Irchel"",""Secteur tertiaire"",23,68,45,23,41,23,18"
"2021,""24 Buch am Irchel"",""Secteur économique - total"",76,197,85,112,136,40,97"
"2021,""24 Buch am Irchel"",""Secteur primaire"",22,66,X,X,46,X,X"
"2021,""24 Buch am Irchel"",""Secteur secondaire"",9,40,X,X,36,X,X"
"2021,""24 Buch am Irchel"",""Secteur tertiaire"",45,91,58,33,54,28,26"
"2021,""25 Dachsen"",""Secteur économique - total"",107,421,161,260,300,83,218"
"2021,""25 Dachsen"",""Secteur primaire"",5,26,X,X,6,X,X"
