Année;Commune;Secteur économique;Emplois
2021;Suisse;Secteur économique - total;5417999
2021;1 Aeugst am Albis;Secteur économique - total;470
2021;2 Affoltern am Albis;Secteur économique - total;6931
2021;3 Bonstetten;Secteur économique - total;1047
2021;4 Hausen am Albis;Secteur économique - total;1113
2021;5 Hedingen;Secteur économique - total;1409
2021;6 Kappel am Albis;Secteur économique - total;355
2021;7 Knonau;Secteur économique - total;516
2021;8 Maschwanden;Secteur économique - total;178
2021;9 Mettmenstetten;Secteur économique - total;1769
2021;10 Obfelden;Secteur économique - total;1464
2021;11 Ottenbach;Secteur économique - total;717
2021;12 Rifferswil;Secteur économique - total;277
2021;13 Stallikon;Secteur économique - total;777
2021;14 Wettswil am Albis;Secteur économique - total;1367
2021;21 Adlikon;Secteur économique - total;138
2021;22 Benken (ZH);Secteur économique - total;357
2021;23 Berg am Irchel;Secteur économique - total;142
2021;24 Buch am Irchel;Secteur économique - total;197
2021;25 Dachsen;Secteur économique - total;421
2021;26 Dorf;Secteur économique - total;164
2021;27 Feuerthalen;Secteur économique - total;1270
2021;28 Flaach;Secteur économique - total;754
2021;29 Flurlingen;Secteur économique - total;448
2021;30 Andelfingen;Secteur économique - total;1724
2021;31 Henggart;Secteur économique - total;727
2021;32 Humlikon;Secteur économique - total;162
2021;33 Kleinandelfingen;Secteur économique - total;1118
2021;34 Laufen-Uhwiesen;Secteur économique - total;435
2021;35 Marthalen;Secteur économique - total;1237
2021;37 Ossingen;Secteur économique - total;456
2021;38 Rheinau;Secteur économique - total;785
2021;39 Thalheim an der Thur;Secteur économique - total;294
2021;40 Trüllikon;Secteur économique - total;337
2021;41 Truttikon;Secteur économique - total;123
2021;43 Volken;Secteur économique - total;86
2021;51 Bachenbülach;Secteur économique - total;1730
2021;52 Bassersdorf;Secteur économique - total;4507
2021;53 Bülach;Secteur économique - total;10845
2021;54 Dietlikon;Secteur économique - total;5751
2021;55 Eglisau;Secteur économique - total;1325
2021;56 Embrach;Secteur économique - total;3748
2021;57 Freienstein-Teufen;Secteur économique - total;762
2021;58 Glattfelden;Secteur économique - total;1066
2021;59 Hochfelden;Secteur économique - total;403
2021;60 Höri;Secteur économique - total;1248
2021;61 Hüntwangen;Secteur économique - total;362
