NOM_COM,INSEE_COM,POPULATION,surface,r,distance_interne,x,y
Magny-la-Fosse,2451,125,3.687,0.611,0.553,721,6983
Magnieu,1227,640,11.462,1.078,0.976,910,6523
Becquigny,2061,260,4.723,0.692,0.627,731,6991
Pont-l'Évêque,14514,4740,13.176,1.155,1.046,496,6915
Lehaucourt,2374,886,9.390,0.975,0.883,721,6978
Saint-Martin-Rivière,2683,121,5.531,0.749,0.678,740,6995
Saint-Julien-d'Intres,7103,343,21.281,1.468,1.329,803,6433
Cambremer,14126,1356,27.649,1.674,1.516,484,6902
Saint-Désir,14574,1696,19.500,1.406,1.273,497,6895
Val-de-Dagne,11251,726,51.697,2.289,2.072,664,6229
Arles,13004,52857,756.846,8.757,7.929,842,6290
Cernay,14147,144,5.876,0.772,0.699,505,6884
Valorbiquet,14570,2507,28.892,1.711,1.549,502,6888
Espins,14248,237,4.553,0.679,0.615,451,6884
Condé-en-Normandie,14174,6671,63.194,2.530,2.291,436,6873
Courtonne-les-Deux-Églises,14194,659,14.068,1.194,1.081,506,6892
Croisilles,14207,644,10.211,1.017,0.921,448,6882
Terres de Druance,14357,966,37.521,1.950,1.766,429,6878
Lisieux,14366,20301,13.083,1.151,1.042,500,6899
Périgny,14496,58,2.668,0.520,0.471,435,6874
Semousies,59563,246,3.115,0.562,0.509,770,7007
Pontécoulant,14512,81,2.393,0.492,0.445,437,6870
Montillières-sur-Orne,14713,605,9.421,0.977,0.885,444,6887
Courcôme,16110,806,29.964,1.742,1.577,474,6546
Aigre,16005,1602,23.797,1.553,1.406,469,6537
La Barde,17033,498,21.339,1.470,1.331,460,6449
Dompierre-sur-Mer,17142,5387,18.406,1.366,1.237,388,6576
Puilboreau,17291,5993,8.010,0.901,0.816,384,6572
Saint-Hilaire-de-Villefranche,17344,1308,25.854,1.619,1.466,425,6532
Baugy,18023,1725,48.401,2.215,2.005,679,6661
Corquoy,18073,217,36.830,1.932,1.749,643,6643
Beaulieu-sur-Dordogne,19019,1320,16.981,1.312,1.188,610,6435
Chassagne-Montrachet,21150,308,6.505,0.812,0.735,832,6651
Corpeau,21196,961,4.681,0.689,0.624,835,6648
Saint-Aubin,21541,223,9.481,0.980,0.887,830,6649
Boulazac Isle Manoire,24053,10557,57.551,2.415,2.187,530,6447
Calès,24073,392,8.056,0.903,0.818,527,6423
Saint-Privat,34286,403,27.001,1.654,1.498,738,6294
Coursac,24139,2132,25.297,1.601,1.450,515,6448
Église-Neuve-de-Vergt,24160,546,7.702,0.883,0.799,522,6444
Eygurande-et-Gardedeuil,24165,398,36.144,1.914,1.733,470,6445
Lacropte,24220,657,27.072,1.656,1.499,533,6440
Molières,24273,327,21.082,1.462,1.324,526,6416
La Roche-Chalais,24354,2987,89.778,3.016,2.731,463,6454
Saint-Bohaire,41203,491,13.857,1.185,1.073,570,6729
Saint-Pierre-de-Chignac,24484,869,15.725,1.262,1.143,534,6447
La Vieille-Lyre,27685,655,19.710,1.413,1.279,535,6874
Pays-de-Clerval,25156,1231,22.563,1.512,1.369,961,6705
Fontain,25245,1289,21.391,1.472,1.333,933,6681
Tarcenay-Foucherans,25558,1487,24.133,1.564,1.416,936,6681
Châtillon-en-Diois,26086,667,110.258,3.342,3.026,894,6404
Chambois,27032,1356,27.402,1.666,1.508,567,6870
Domloup,35099,3354,18.427,1.366,1.237,360,6787
Authon-du-Perche,28018,1519,35.212,1.889,1.710,541,6790
Bailleau-Armenonville,28023,1399,17.822,1.344,1.217,599,6824
Gallardon,28168,3654,11.339,1.072,0.971,602,6828
Gas,28172,788,12.259,1.114,1.009,602,6832
Saint-Gilles,30258,13615,152.179,3.927,3.556,813,6298
Yermenonville,28423,589,5.140,0.722,0.654,598,6827
Plouigneau,29199,5107,65.352,2.573,2.330,210,6848
